Air temperature(°C),Flow temperature(°C),Heating capacity (kW),Power consumption (kW),EER,Hot water flow rate (m3/h),Water pressure drop (kPa)
15,7,174.8,29.78,5.86971121558093,Don’t need these values atm,Don’t need these values atm
20,7,168.9,32.91,5.13,,
25,7,162.8,36.14,4.5,,
30,7,156.5,39.47,3.97,,
35,7,150,42.88,3.5,,
40,7,143.1,46.43,3.08,,
43,7,139,48.62,2.86,,
52,7,49.6,22.8,2.18,,
15,10,191.6,30.3,6.32,,
20,10,185.1,33.57,5.51,,
25,10,178.4,36.93,4.83,,
30,10,171.6,40.37,4.25,,
35,10,164.4,43.9,3.74,,
40,10,157.1,47.5,3.31,,
43,10,151.5,49.12,3.08,,
52,10,54.3,22.8,2.38,,
15,15,223.6,31.38,7.13,,
20,15,216.7,34.63,6.26,,
25,15,209.1,38,5.5,,
30,15,201,41.41,4.85,,
35,15,192.4,45.15,4.26,,
40,15,183.2,48.93,3.74,,
43,15,171.8,48.71,3.53,,
52,15,62.9,22.73,2.77,,
