Air temperature(°C),Flow temperature(°C),Heating capacity (kW),Power consumption (kW),COP
-20,25,104.3,38.53,2.71
-15,25,118.8,38.98,3.05
-10,25,135.6,39.2,3.46
-5,25,150,37.59,3.99
0,25,150,32.4,4.63
5,25,150,28.05,5.35
10,25,167.9,27.73,6.05
15,25,187.3,27.16,6.90
20,25,187.3,27.16,6.90
25,25,187.3,27.16,6.90
-20,30,101.6,41.19,2.47
-15,30,117,41.81,2.80
-10,30,134.4,42.19,3.19
-5,30,150,40.92,3.67
0,30,150,35.52,4.22
5,30,150,31.14,4.82
10,30,166.8,30.78,5.42
15,30,185.7,30.4,6.11
20,30,185.7,30.4,6.11
25,30,185.7,30.4,6.11
-20,35,99,44.07,2.25
-15,35,114.8,44.89,2.56
-10,35,132.5,45.45,2.92
-5,35,150,44.88,3.34
0,35,150,39,3.85
5,35,150,34.51,4.35
10,35,165.2,33.96,4.86
15,35,183.8,33.74,5.45
20,35,183.8,33.74,5.45
25,35,183.8,33.74,5.45
-20,40,96.6,47.18,2.05
-15,40,112.4,48.24,2.33
-10,40,129.9,49,2.65
-5,40,149.2,49.45,3.02
0,40,150,42.1,3.56
5,40,150,38.2,3.93
10,40,163.1,37.25,4.38
15,40,181.5,37.19,4.88
20,40,181.5,37.19,4.88
25,40,181.5,37.19,4.88
-20,45,94.4,50.51,1.87
-15,45,109.5,51.86,2.11
-10,45,126.6,52.75,2.40
-5,45,145.5,53.49,2.72
0,45,150,47.35,3.17
5,45,150,42.25,3.55
10,45,160.6,40.66,3.95
15,45,178.8,40.75,4.39
20,45,178.8,40.75,4.39
25,45,178.8,40.75,4.39
-10,50,122.6,57.01,2.15
-5,50,140.9,57.86,2.44
0,50,147,51.38,2.86
5,50,147.2,45.91,3.21
10,50,157.5,44.19,3.56
15,50,175.7,44.42,3.96
20,50,175.7,44.42,3.96
25,50,175.7,44.42,3.96
-5,55,135.4,62.56,2.16
0,55,142.9,55.43,2.58
5,55,143.6,49.67,2.89
10,55,154,47.83,3.22
15,55,172.2,48.19,3.57
20,55,172.2,48.19,3.57
