Year,Asset Purchases,Operational Costs,Maintenance Costs,Present Value,Net Present Value,,Gas Price Increases per year:,3.00%
1,"$170,981.79","$24,168.00","$22,007.76","$208,805.34",208805.336538462,,,
2,,"$24,893.04","$22,667.99","$43,972.85",252778.184911243,,Inflation,3.00%
3,,"$25,639.83","$23,348.03","$43,550.03",296328.217434285,,,
4,,"$26,409.03","$24,048.47","$43,131.28",339459.499644607,,Rate of return,4.00%
5,,"$27,201.30","$24,769.93","$42,716.56",382176.057987521,,,
6,,"$28,017.34","$25,513.03","$42,305.82",424481.880192523,,Fan coil price:,$468.00
7,,"$28,857.86","$26,278.42","$41,899.04",466380.915645553,,Fan coil count:,64
8,,"$29,723.59","$27,066.77","$41,496.16",507877.075757689,,Fan coils total cost:,"$29,952.00"
9,,"$30,615.30","$27,878.77","$41,097.16",548974.234330285,,Fan coil replacement period:,20
10,,"$31,533.76","$28,715.14","$40,701.99",589676.227916606,,,
11,,"$32,479.77","$29,576.59","$40,310.63",629986.856179982,,Boiler price:,"$8,259.99"
12,,"$33,454.16","$30,463.89","$39,923.03",669909.882248518,,Boiler count:,1
13,,"$34,457.79","$31,377.80","$39,539.15",709449.033066395,,Boiler cost:,"$8,259.99"
14,,"$35,491.52","$32,319.14","$39,158.97",748607.999741792,,Boiler replacement period:,21
15,,"$36,556.27","$33,288.71","$38,782.44",787390.437891464,,,
16,"$213,056.55","$37,652.96","$34,287.37","$152,162.17",939552.603500326,,Chiller price:,"$66,384.90"
17,,"$38,782.55","$35,315.99","$38,040.21",977592.81118615,,Chiller count:,2
18,,"$39,946.02","$36,375.47","$37,674.44",1015267.24764423,,Chiller cost:,"$132,769.80"
19,,"$41,144.40","$37,466.74","$37,312.18",1052579.42990559,,Chiller replacement period:,15
20,,"$42,378.73","$38,590.74","$36,953.41",1089532.84118367,,,
21,"$48,064.17","$43,650.10","$39,748.46","$57,690.26",1147223.10285261,,,
22,"$13,254.86","$44,959.60","$40,940.92","$41,839.14",1189062.24737008,,,
23,,"$46,308.39","$42,169.14","$35,897.66",1224959.91166165,,,
24,,"$47,697.64","$43,434.22","$35,552.49",1260512.40610425,,,
25,,"$49,128.57","$44,737.24","$35,210.64",1295723.04963875,,,
26,,"$50,602.43","$46,079.36","$34,872.08",1330595.12929312,,,
27,,"$52,120.50","$47,461.74","$34,536.77",1365131.90048926,,,
28,,"$53,684.11","$48,885.60","$34,204.69",1399336.58734699,,,
29,,"$55,294.64","$50,352.16","$33,875.80",1433212.38298493,,,
30,,"$56,953.48","$51,862.73","$33,550.07",1466762.44981865,,,
31,"$213,056.55","$58,662.08","$53,418.61","$96,390.27",1563152.72044931,,,
32,,"$60,421.94","$55,021.17","$32,907.98",1596060.69558235,,,
33,,"$62,234.60","$56,671.80","$32,591.55",1628652.24787758,,,
34,,"$64,101.64","$58,371.96","$32,278.17",1660930.41986227,,,
35,,"$66,024.69","$60,123.12","$31,967.80",1692898.22480866,,,
36,,"$68,005.43","$61,926.81","$31,660.42",1724558.64701517,,,
37,,"$70,045.59","$63,784.61","$31,356.00",1755914.64208508,,,
38,,"$72,146.96","$65,698.15","$31,054.50",1786969.1372024,,,
39,,"$74,311.37","$67,669.10","$30,755.89",1817725.03140512,,,
40,,"$76,540.71","$69,699.17","$30,460.16",1848185.1958559,,,
41,"$48,064.17","$78,836.93","$71,790.14","$39,793.47",1887978.66591957,,,
42,,"$81,202.04","$73,943.85","$29,877.21",1917855.87419049,,,
43,"$13,254.86","$83,638.10","$76,162.16","$32,044.31",1949900.18005075,,,
44,,"$86,147.24","$78,447.03","$29,305.41",1979205.58894001,,,
45,,"$88,731.66","$80,800.44","$29,023.63",2008229.21505148,,,
46,"$213,056.55","$91,393.61","$83,224.45","$63,816.61",2072045.82889644,,,
47,,"$94,135.42","$85,721.19","$28,468.16",2100513.99174931,,,
48,,"$96,959.48","$88,292.82","$28,194.43",2128708.42226706,,,
49,,"$99,868.26","$90,941.61","$27,923.33",2156631.75249137,,,
50,,"$102,864.31","$93,669.86","$27,654.84",2184286.58915582,,,
