Year,Asset Purchases,Operational Costs,Maintenance Costs,Present Value,Net Present Value,,Gas Price Increases per year:,3.00%
1,"$110,918.98","$26,775.27","$22,007.76","$153,559.63",153559.625,,,
2,,"$27,578.53","$22,667.99","$46,455.73",200015.358080621,,Inflation,3.00%
3,,"$28,405.88","$23,348.03","$46,009.04",246024.401420083,,,
4,,"$29,258.06","$24,048.47","$45,566.65",291591.050112049,,Rate of return,4.00%
5,,"$30,135.80","$24,769.93","$45,128.51",336719.557951209,,,
6,,"$31,039.88","$25,513.03","$44,694.58",381414.137830376,,Fan coil price:,$468.00
7,,"$31,971.07","$26,278.42","$44,264.82",425678.962133782,,Fan coil count:,64
8,,"$32,930.20","$27,066.77","$43,839.20",469518.163126579,,Fan coils total cost:,"$29,952.00"
9,,"$33,918.11","$27,878.77","$43,417.67",512935.833340598,,Fan coil replacement period:,20
10,,"$34,935.65","$28,715.14","$43,000.19",555936.025956406,,,
11,,"$35,983.72","$29,576.59","$42,586.73",598522.755181677,,Boiler price:,"$7,291.04"
12,,"$37,063.24","$30,463.89","$42,177.24",640699.996625937,,Boiler count:,2
13,,"$38,175.13","$31,377.80","$41,771.69",682471.687671693,,Boiler cost:,"$14,582.08"
14,,"$39,320.39","$32,319.14","$41,370.04",723841.72784201,,Boiler replacement period:,21
15,,"$40,500.00","$33,288.71","$40,972.25",764813.979164535,,,
16,"$106,528.28","$41,715.00","$34,287.37","$97,454.61",862268.584291196,,Chiller price:,"$66,384.90"
17,,"$42,966.45","$35,315.99","$40,188.11",902456.695818625,,Chiller count:,1
18,,"$44,255.44","$36,375.47","$39,801.69",942258.383196752,,Chiller cost:,"$66,384.90"
19,,"$45,583.10","$37,466.74","$39,418.98",981677.362042396,,Chiller replacement period:,15
20,,"$46,950.60","$38,590.74","$39,039.95",1020717.31224529,,,
21,"$48,064.17","$48,359.12","$39,748.46","$59,756.74",1080474.04996477,,,
22,"$23,399.96","$49,809.89","$40,940.92","$48,166.53",1128640.57954426,,,
23,,"$51,304.19","$42,169.14","$37,924.59",1166565.17101964,,,
24,,"$52,843.31","$43,434.22","$37,559.93",1204125.1029616,,,
25,,"$54,428.61","$44,737.24","$37,198.78",1241323.88171181,,,
26,,"$56,061.47","$46,079.36","$36,841.10",1278164.97989712,,,
27,,"$57,743.31","$47,461.74","$36,486.86",1314651.83675372,,,
28,,"$59,475.61","$48,885.60","$36,136.02",1350787.85844824,,,
29,,"$61,259.88","$50,352.16","$35,788.56",1386576.4183957,,,
30,,"$63,097.68","$51,862.73","$35,444.44",1422020.85757443,,,
31,"$106,528.28","$64,990.61","$53,418.61","$66,685.03",1488705.88513469,,,
32,,"$66,940.33","$55,021.17","$34,766.09",1523471.9775207,,,
33,,"$68,948.54","$56,671.80","$34,431.80",1557903.78055685,,,
34,,"$71,016.99","$58,371.96","$34,100.73",1592004.50856381,,,
35,,"$73,147.50","$60,123.12","$33,772.84",1625777.34495532,,,
36,,"$75,341.93","$61,926.81","$33,448.10",1659225.44253537,,,
37,,"$77,602.18","$63,784.61","$33,126.48",1692351.92379253,,,
38,,"$79,930.25","$65,698.15","$32,807.96",1725159.88119146,,,
39,,"$82,328.16","$67,669.10","$32,492.50",1757652.37746154,,,
40,,"$84,798.00","$69,699.17","$32,180.07",1789832.44588288,,,
41,"$48,064.17","$87,341.94","$71,790.14","$41,496.84",1831329.28237893,,,
42,,"$89,962.20","$73,943.85","$31,564.20",1862893.47855884,,,
43,"$23,399.96","$92,661.07","$76,162.16","$35,593.62",1898487.10094731,,,
44,,"$95,440.90","$78,447.03","$30,960.11",1929447.2116419,,,
45,,"$98,304.13","$80,800.44","$30,662.42",1960109.62896443,,,
46,"$106,528.28","$101,253.25","$83,224.45","$47,903.62",2008013.2458819,,,
47,,"$104,290.85","$85,721.19","$30,075.59",2038088.83624569,,,
48,,"$107,419.57","$88,292.82","$29,786.40",2067875.23824059,,,
49,,"$110,642.16","$90,941.61","$29,499.99",2097375.23252401,,,
50,,"$113,961.42","$93,669.86","$29,216.34",2126591.57301624,,,
