Month,Day,Hour,Hour_simulation,Unnamed: 4,"Day_type(0,1)","Building_opening_hours(0,1)","Building_use_intensity(0,1)",External temperture (ºC),Indoor_temperature.FF_θair(ºC) ,Unnamed: 10,Heating_thermal_load(kW),Cooling_thermal_load(kW),Indoor_temperature.Set-point_θair(ºC) ,Unnamed: 14,Energy_Heating(kW),Energy_Cooling(kW),Energy_Ventilation(kW),Hot_water(kW),Lighting(kW),Building_background/standby(kW),Others(kW)
Jan,1,1,1,,1,1,0.77,-18.0,14.96,,86.25,0.0,22.0,,43.87,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,2,2,,1,1,0.77,-16.6,14.57,,80.96,0.0,22.0,,39.82,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,3,3,,1,1,0.77,-15.3,14.2,,76.17,0.0,22.0,,36.35,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,4,4,,1,1,0.77,-14.4,13.83,,72.13,0.0,22.0,,33.63,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,5,5,,1,1,0.77,-13.0,13.53,,67.93,0.0,22.0,,30.52,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,6,6,,1,1,0.77,-11.1,13.3,,63.47,0.0,22.0,,27.17,0.0,0.0,0.61,6.04,6.53,3.76
Jan,1,7,7,,1,1,1.0,-9.7,11.94,,455.69,0.0,22.0,,171.75,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,8,8,,1,1,1.0,-7.7,11.98,,409.62,0.0,22.0,,157.72,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,9,9,,1,1,1.0,-5.9,11.96,,373.5,0.0,22.0,,145.05,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,10,10,,1,1,1.0,-2.2,12.46,,303.77,0.0,22.0,,141.14,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,11,11,,1,1,1.0,1.4,13.04,,237.75,0.0,22.0,,89.15,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,12,12,,1,1,1.0,2.8,13.41,,194.02,0.0,22.0,,70.46,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,13,13,,1,1,1.0,4.4,13.74,,159.31,0.0,22.0,,55.84,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,14,14,,1,1,1.0,3.3,13.78,,149.7,0.0,22.0,,53.76,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,15,15,,1,1,1.0,3.9,13.9,,135.32,0.0,22.0,,47.96,0.0,14.7,0.8,7.88,6.53,4.91
Jan,1,16,16,,1,1,1.0,2.2,13.69,,146.84,0.0,22.0,,54.06,0.0,14.7,0.8,7.88,6.53,4.91
