Hour_simulation,External temperture (ºC),Indoor_temperature.FF_θair(ºC),Indoor_temperature.Set-point_θair(ºC),Heating_thermal_load(kW),Cooling_thermal_load(kW)
1,-18,16.3,16.3,0,0
2,-16.6,15.94,15.94,0,0
3,-15.3,15.59,15.59,0,0
4,-14.4,15.25,15.25,0,0
5,-13,14.94,14.94,0,0
6,-11.1,14.67,14.67,0,0
7,-9.7,13.19,22,457.5,0
8,-7.7,13.23,22,457.5,0
9,-5.9,13.21,22,457.5,0
10,-2.2,13.66,22,405.37,0
11,1.4,14.18,22,326.37,0
12,2.8,14.55,22,267.35,0
13,4.4,14.85,22,220.34,0
14,3.3,14.95,22,194.19,0
15,3.9,15.08,22,169.21,0
16,2.2,14.94,22,166.27,0
17,-0.6,14.5,22,185.19,0
18,-2.2,14.18,22,193.88,0
19,-5,13.72,22,212.17,0
20,-5.6,13.42,22,216.63,0
21,-6.1,13.13,22,220.66,0
22,-6.1,13.61,20.05,0,0
23,-6.1,13.37,19.74,0,0
24,-5,13.18,19.47,0,0
25,-5,12.97,19.18,0,0
26,-5.6,12.74,18.87,0,0
27,-5,12.54,18.6,0,0
28,-6.7,12.28,18.27,0,0
29,-5.6,12.1,18.01,0,0
30,-6.1,11.87,17.72,0,0
31,-4.4,11.04,22,396.93,0
32,-2.8,11.22,22,347,0
33,-1.7,11.28,22,311.49,0
34,2.2,11.82,22,246.73,0
35,5.6,12.52,22,178.53,0
36,8.9,13.09,22,127.43,0
37,9.4,13.46,22,96.99,0
38,9.4,13.7,22,79.54,0
39,10,14.04,22,57.19,0
40,7.8,13.95,22,67.52,0
41,6.7,13.83,22,78.77,0
42,5,13.66,22,91.83,0
43,1.1,13.25,22,121.08,0
44,0,13.04,22,132.41,0
45,-1.7,12.75,22,148.04,0
46,-1.1,13,20.79,0,0
47,0.6,12.89,20.59,0,0
48,0,12.73,20.33,0,0
49,-0.6,12.57,20.08,0,0
50,-0.6,12.41,19.83,0,0
51,-1.1,12.25,19.58,0,0
52,-1.7,12.08,19.31,0,0
53,-1.7,11.92,19.07,0,0
54,-1.1,11.78,18.84,0,0
55,-1.1,11.19,22,306.79,0
56,-0.6,11.31,22,272.74,0
57,3.3,11.7,22,223.93,0
58,5.6,12.1,22,180.47,0
59,6.1,12.52,22,140.31,0
60,6.7,12.99,22,101.76,0
61,5.6,13.23,22,84.15,0
62,4.6,13.4,22,73.61,0
63,2.3,13.32,22,81.96,0
64,-0.3,13.03,22,104.18,0
65,-3,12.61,22,133.45,0
66,-5.8,12.16,22,161.09,0
67,-5.6,11.96,22,168.01,0
68,-7.2,11.59,22,186.37,0
69,-8.8,11.19,22,204.59,0
70,-9.9,11.67,20.36,0,0
71,-11.4,11.37,19.96,0,0
72,-12.4,11.07,19.55,0,0
73,-13.5,10.76,19.13,0,0
74,-16.2,10.38,18.66,0,0
75,-16.2,10.07,18.24,0,0
76,-14.7,9.8,17.88,0,0
77,-14.2,9.53,17.51,0,0
78,-13.3,9.28,17.16,0,0
79,-11.8,8.06,22,457.5,0
80,-9.1,8.28,22,416.58,0
81,-5.9,8.46,22,367.32,0
82,-0.5,8.97,22,301.5,0
83,3.3,9.39,22,249.78,0
84,3.8,9.59,22,220.54,0
85,8,10.11,22,171.93,0
86,9.6,10.44,22,142.4,0
87,11.1,10.79,22,115.69,0
88,10,10.85,22,111.75,0
89,7.2,10.7,22,123.96,0
90,7.2,10.78,22,118.2,0
91,6.1,10.75,22,120.94,0
92,7.2,10.91,22,109.46,0
93,6.1,10.88,22,113.38,0
94,5.6,10.59,20.8,0,0
95,5,10.52,20.61,0,0
96,10,10.62,20.59,0,0
97,5,10.46,20.31,0,0
98,10.6,10.58,20.31,0,0
99,11.1,10.61,20.22,0,0
100,9.4,10.57,20.06,0,0
101,9.4,10.56,19.94,0,0
102,9.4,10.56,19.82,0,0
103,5,10.48,22,213.79,0
104,10,11.23,22,148.04,0
105,8.9,11.53,22,122.4,0
106,12.8,12.38,22,61.21,0
107,12.8,12.9,22,30.13,0
108,15,13.68,22.23,0,0
109,14.4,14.16,22.53,0,37.84
110,12.8,14.49,22.69,0,48.85
111,10,14.5,22.53,0,37.36
112,8.3,14.51,22.37,0,0
113,5.6,14.21,22,6.47,0
114,5.6,14.18,22,18.99,0
115,3.9,13.99,22,41.74,0
116,3.3,13.87,22,56.17,0
117,1.7,13.65,22,76.56,0
118,0,13.69,21.47,0,0
119,0.6,13.55,21.24,0,0
120,0,13.38,20.98,0,0
121,0,13.23,20.73,0,0
122,1.1,13.11,20.52,0,0
123,0.6,12.96,20.28,0,0
124,0,12.8,20.03,0,0
125,-0.6,12.63,19.77,0,0
126,0,12.5,19.55,0,0
127,-0.6,11.88,22,258.09,0
128,-0.6,11.95,22,233.29,0
129,-0.6,12.05,22,208.78,0
130,0,12.29,22,178.56,0
131,0,12.64,22,143.69,0
132,1.1,13.04,22,109.8,0
133,1.7,13.38,22,83.41,0
134,1.1,13.57,22,71.29,0
135,1.7,13.79,22,58.75,0
136,0.6,13.74,22,66.7,0
137,-0.6,13.43,22,91.64,0
138,-1.7,13.18,22,109.5,0
139,-3.3,12.87,22,130.03,0
140,-4.4,12.57,22,146.63,0
141,-6.1,12.21,22,166.81,0
142,-7.8,12.58,20.7,0,0
143,-7.8,12.34,20.36,0,0
144,-8.9,12.07,19.99,0,0
145,-8.9,11.82,19.65,0,0
146,-8.3,11.59,19.33,0,0
147,-10.6,11.29,18.92,0,0
148,-12.2,10.98,18.52,0,0
149,-13.9,10.65,18.1,0,0
150,-12.8,10.39,17.76,0,0
151,-12.8,8.98,22,444.55,0
152,-2.8,9.82,22,343.22,0
153,-0.6,9.96,22,305.29,0
154,1.1,10.1,22,271.47,0
155,2.8,10.29,22,238.4,0
156,5,10.58,22,203.42,0
157,5.6,10.73,22,181.43,0
158,5,10.77,22,170.87,0
159,5,10.83,22,159.72,0
160,4.4,10.82,22,155.74,0
161,5,10.89,22,146.05,0
162,5.6,10.98,22,136.3,0
163,5,10.96,22,135.43,0
164,4.4,10.93,22,135.56,0
165,2.2,10.73,22,147.81,0
166,-0.6,10.55,20.48,0,0
167,0,10.45,20.25,0,0
168,1.7,10.38,20.07,0,0
169,1.7,10.29,19.86,0,0
170,1.1,10.17,19.62,0,0
171,-0.6,10.02,19.35,0,0
172,-1.7,9.86,19.08,0,0
173,-3.3,9.68,18.79,0,0
174,-3.3,9.53,18.53,0,0
175,-4.4,8.83,22,347.71,0
176,-2.8,9.06,22,303.84,0
177,2.2,9.73,22,234.41,0
178,5,10.36,22,175.73,0
179,7.2,10.92,22,129.55,0
180,7.8,11.41,22,93.33,0
181,10.6,12.14,22,44.64,0
182,10.6,12.64,22,17.37,0
183,7.8,12.76,22,20.05,0
184,6.7,12.89,22,21.54,0
185,4.4,12.61,22,52.16,0
186,0.6,12.21,22,87.03,0
187,-0.6,12.01,22,104.41,0
188,-1.7,11.79,22,120.5,0
189,-1.1,11.72,22,124.06,0
190,-2.2,11.83,21.02,0,0
191,-1.7,11.68,20.76,0,0
192,-2.8,11.49,20.46,0,0
193,-3.3,11.31,20.17,0,0
194,-3.3,11.14,19.89,0,0
195,-3.3,10.97,19.62,0,0
196,-3.3,10.81,19.35,0,0
197,-3.9,10.63,19.06,0,0
198,-3.3,10.48,18.81,0,0
199,-5,9.65,22,333.41,0
200,-1.1,10.08,22,275.73,0
201,0.6,10.43,22,231.04,0
202,2.8,10.94,22,180.53,0
203,3.9,11.42,22,138.09,0
204,3.3,11.76,22,110.98,0
205,3.3,12.12,22,85.75,0
206,3.9,12.48,22,62.87,0
207,4.4,12.77,22,47.94,0
208,3.9,12.85,22,49.39,0
209,2.8,12.64,22,71.01,0
210,1.1,12.42,22,90.89,0
211,0,12.22,22,106.31,0
212,0.6,12.18,22,109.29,0
213,-1.7,11.87,22,131.4,0
214,-1.7,12.05,20.99,0,0
215,-2.8,11.85,20.69,0,0
216,-4.4,11.63,20.36,0,0
217,-4.4,11.45,20.06,0,0
218,-5,11.24,19.75,0,0
219,-5,11.05,19.46,0,0
220,-5.6,10.85,19.15,0,0
