Month,Day,Hour,Hour_simulation,,"Day_type(0,1)","Building_opening_hours(0,1)","Building_use_intensity(0,1)",External temperture (ºC),Indoor_temperature.FF_θair(ºC) ,,Heating_thermal_load(kW),Cooling_thermal_load(kW),Indoor_temperature.Set-point_θair(ºC) ,,Energy_Heating(kW),Energy_Cooling(kW),Energy_Ventilation(kW),Hot_water(kW),Lighting(kW),Building_background/standby(kW),Others(kW)
Jan,1,1,1,,1,1,0.77,-18,14.96,,86.25,0.00,22.00,,85.20,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,2,2,,1,1,0.77,-16.6,14.57,,80.96,0.00,22.00,,79.86,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,3,3,,1,1,0.77,-15.3,14.20,,76.17,0.00,22.00,,75.03,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,4,4,,1,1,0.77,-14.4,13.83,,72.13,0.00,22.00,,70.98,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,5,5,,1,1,0.77,-13,13.53,,67.93,0.00,22.00,,66.76,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,6,6,,1,1,0.77,-11.1,13.30,,63.47,0.00,22.00,,62.30,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,7,7,,1,1,1.00,-9.7,11.94,,455.69,0.00,22.00,,482.93,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,8,8,,1,1,1.00,-7.7,11.98,,409.62,0.00,22.00,,429.77,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,9,9,,1,1,1.00,-5.9,11.96,,373.50,0.00,22.00,,388.83,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,10,10,,1,1,1.00,-2.2,12.46,,303.77,0.00,22.00,,311.58,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,11,11,,1,1,1.00,1.4,13.04,,237.75,0.00,22.00,,240.52,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,12,12,,1,1,1.00,2.8,13.41,,194.02,0.00,22.00,,194.53,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,13,13,,1,1,1.00,4.4,13.74,,159.31,0.00,22.00,,158.60,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,14,14,,1,1,1.00,3.3,13.78,,149.70,0.00,22.00,,148.74,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,15,15,,1,1,1.00,3.9,13.90,,135.32,0.00,22.00,,134.07,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,16,16,,1,1,1.00,2.2,13.69,,146.84,0.00,22.00,,145.82,0.00,14.70,0.80,7.88,6.53,4.91
