Hour_simulation,External temperture (ºC),Indoor_temperature.FF_θair(ºC),Indoor_temperature.Set-point_θair(ºC),Heating_thermal_load(kW),Cooling_thermal_load(kW)
1,-18,16.30,16.30,0.00,0.00
2,-16.6,15.94,15.94,0.00,0.00
3,-15.3,15.59,15.59,0.00,0.00
4,-14.4,15.25,15.25,0.00,0.00
5,-13,14.94,14.94,0.00,0.00
6,-11.1,14.67,14.67,0.00,0.00
7,-9.7,13.19,22.00,457.50,0.00
8,-7.7,13.23,22.00,457.50,0.00
9,-5.9,13.21,22.00,457.50,0.00
10,-2.2,13.66,22.00,405.37,0.00
11,1.4,14.18,22.00,326.37,0.00
12,2.8,14.55,22.00,267.35,0.00
13,4.4,14.85,22.00,220.34,0.00
14,3.3,14.95,22.00,194.19,0.00
15,3.9,15.08,22.00,169.21,0.00
16,2.2,14.94,22.00,166.27,0.00
17,-0.6,14.50,22.00,185.19,0.00
18,-2.2,14.18,22.00,193.88,0.00
19,-5,13.72,22.00,212.17,0.00
20,-5.6,13.42,22.00,216.63,0.00
21,-6.1,13.13,22.00,220.66,0.00
22,-6.1,13.61,20.05,0.00,0.00
23,-6.1,13.37,19.74,0.00,0.00
24,-5,13.18,19.47,0.00,0.00
25,-5,12.97,19.18,0.00,0.00
26,-5.6,12.74,18.87,0.00,0.00
27,-5,12.54,18.60,0.00,0.00
28,-6.7,12.28,18.27,0.00,0.00
29,-5.6,12.10,18.01,0.00,0.00
30,-6.1,11.87,17.72,0.00,0.00
31,-4.4,11.04,22.00,396.93,0.00
32,-2.8,11.22,22.00,347.00,0.00
33,-1.7,11.28,22.00,311.49,0.00
34,2.2,11.82,22.00,246.73,0.00
35,5.6,12.52,22.00,178.53,0.00
36,8.9,13.09,22.00,127.43,0.00
37,9.4,13.46,22.00,0.00,0.00
38,9.4,13.70,22.00,0.00,0.00
39,10,14.04,22.00,0.00,0.00
40,7.8,13.95,22.00,0.00,0.00
41,6.7,13.83,22.00,0.00,0.00
42,5,13.66,22.00,0.00,0.00
43,1.1,13.25,22.00,121.08,0.00
44,0,13.04,22.00,132.41,0.00
45,-1.7,12.75,22.00,148.04,0.00
46,-1.1,13.00,20.79,0.00,0.00
47,0.6,12.89,20.59,0.00,0.00
48,0,12.73,20.33,0.00,0.00
49,-0.6,12.57,20.08,0.00,0.00
50,-0.6,12.41,19.83,0.00,0.00
51,-1.1,12.25,19.58,0.00,0.00
52,-1.7,12.08,19.31,0.00,0.00
53,-1.7,11.92,19.07,0.00,0.00
54,-1.1,11.78,18.84,0.00,0.00
55,-1.1,11.19,22.00,306.79,0.00
56,-0.6,11.31,22.00,272.74,0.00
57,3.3,11.70,22.00,223.93,0.00
58,5.6,12.10,22.00,180.47,0.00
59,6.1,12.52,22.00,140.31,0.00
60,6.7,12.99,22.00,0.00,0.00
61,5.6,13.23,22.00,0.00,0.00
62,4.6,13.40,22.00,0.00,0.00
63,2.3,13.32,22.00,0.00,0.00
64,-0.3,13.03,22.00,0.00,0.00
65,-3,12.61,22.00,133.45,0.00
66,-5.8,12.16,22.00,161.09,0.00
67,-5.6,11.96,22.00,168.01,0.00
68,-7.2,11.59,22.00,186.37,0.00
69,-8.8,11.19,22.00,204.59,0.00
70,-9.9,11.67,20.36,0.00,0.00
71,-11.4,11.37,19.96,0.00,0.00
72,-12.4,11.07,19.55,0.00,0.00
73,-13.5,10.76,19.13,0.00,0.00
74,-16.2,10.38,18.66,0.00,0.00
75,-16.2,10.07,18.24,0.00,0.00
76,-14.7,9.80,17.88,0.00,0.00
77,-14.2,9.53,17.51,0.00,0.00
78,-13.3,9.28,17.16,0.00,0.00
79,-11.8,8.06,22.00,457.50,0.00
80,-9.1,8.28,22.00,416.58,0.00
81,-5.9,8.46,22.00,367.32,0.00
82,-0.5,8.97,22.00,301.50,0.00
83,3.3,9.39,22.00,249.78,0.00
84,3.8,9.59,22.00,220.54,0.00
85,8,10.11,22.00,171.93,0.00
86,9.6,10.44,22.00,142.40,0.00
87,11.1,10.79,22.00,115.69,0.00
88,10,10.85,22.00,111.75,0.00
89,7.2,10.70,22.00,123.96,0.00
90,7.2,10.78,22.00,118.20,0.00
91,6.1,10.75,22.00,120.94,0.00
92,7.2,10.91,22.00,109.46,0.00
93,6.1,10.88,22.00,113.38,0.00
94,5.6,10.59,20.80,0.00,0.00
95,5,10.52,20.61,0.00,0.00
96,10,10.62,20.59,0.00,0.00
97,5,10.46,20.31,0.00,0.00
98,10.6,10.58,20.31,0.00,0.00
99,11.1,10.61,20.22,0.00,0.00
100,9.4,10.57,20.06,0.00,0.00
101,9.4,10.56,19.94,0.00,0.00
102,9.4,10.56,19.82,0.00,0.00
103,5,10.48,22.00,213.79,0.00
104,10,11.23,22.00,148.04,0.00
105,8.9,11.53,22.00,122.40,0.00
106,12.8,12.38,22.00,0.00,0.00
107,12.8,12.90,22.00,0.00,0.00
108,15,13.68,22.23,0.00,0.00
109,14.4,14.16,22.53,0.00,37.84
110,12.8,14.49,22.69,0.00,48.85
111,10,14.50,22.53,0.00,37.36
112,8.3,14.51,22.37,0.00,0.00
113,5.6,14.21,22.00,0.00,0.00
114,5.6,14.18,22.00,0.00,0.00
115,3.9,13.99,22.00,0.00,0.00
116,3.3,13.87,22.00,0.00,0.00
117,1.7,13.65,22.00,0.00,0.00
118,0,13.69,21.47,0.00,0.00
119,0.6,13.55,21.24,0.00,0.00
120,0,13.38,20.98,0.00,0.00
121,0,13.23,20.73,0.00,0.00
122,1.1,13.11,20.52,0.00,0.00
123,0.6,12.96,20.28,0.00,0.00
124,0,12.80,20.03,0.00,0.00
125,-0.6,12.63,19.77,0.00,0.00
126,0,12.50,19.55,0.00,0.00
127,-0.6,11.88,22.00,258.09,0.00
128,-0.6,11.95,22.00,233.29,0.00
129,-0.6,12.05,22.00,208.78,0.00
130,0,12.29,22.00,178.56,0.00
131,0,12.64,22.00,143.69,0.00
132,1.1,13.04,22.00,109.80,0.00
133,1.7,13.38,22.00,0.00,0.00
134,1.1,13.57,22.00,0.00,0.00
135,1.7,13.79,22.00,0.00,0.00
136,0.6,13.74,22.00,0.00,0.00
137,-0.6,13.43,22.00,0.00,0.00
138,-1.7,13.18,22.00,109.50,0.00
139,-3.3,12.87,22.00,130.03,0.00
140,-4.4,12.57,22.00,146.63,0.00
141,-6.1,12.21,22.00,166.81,0.00
142,-7.8,12.58,20.70,0.00,0.00
143,-7.8,12.34,20.36,0.00,0.00
144,-8.9,12.07,19.99,0.00,0.00
145,-8.9,11.82,19.65,0.00,0.00
146,-8.3,11.59,19.33,0.00,0.00
147,-10.6,11.29,18.92,0.00,0.00
148,-12.2,10.98,18.52,0.00,0.00
